Database,ID,Source,Collection Terms,Description,Tags,Category_1,Category_2,Category_3,Event Name,Create Time,Count
Collect_yTK,1,yTK,#egypt,Tweets for Egyptian revolution,/Disaster_Types/Manmade/Conflict_Based/Revolution,/Disaster_Types/Manmade/Conflict_Based/Revolution,,,Egypte,2012-10-07,"13,901,153"
Collect_yTK,2,yTK,#libya,"""""Libya, Libya, Libya"" ( Lībiyā, Lībiyā, Lībiyā), also known as ""Ya Beladi"", ""O my country!"", is the national anthem of Libya, and was previously the national anthem of the Kingdom of Libya, from 1951 to 1969""",,,,,"Libya, Libya, Libya",2012-10-07,"3,673,240"
Collect_yTK,3,yTK,#blacksburg,,Local,Local,,,Blacksburg,2012-10-07,"392,674"
Collect_yTK,4,yTK,#jan25,,/Disaster_Types/Manmade/Conflict_Based/Revolution,/Disaster_Types/Manmade/Conflict_Based/Revolution,,,Jan Jan,2012-10-07,"1,282,800"
Collect_yTK,5,yTK,#bahrain,""" In December 1994, a group of youths threw stones at female runners for running bare-legged during an international marathon""",Building,Building,,,Bahrain,2012-10-07,"23,100,332"
Collect_yTK,6,yTK,#yemen,""" The lack of safe drinking water, caused by depleted aquifers and the destruction of the country's water infrastructure, has also caused the world's worst outbreak of cholera, with the number of suspected cases exceeding 994,751""",International,International,,,Yemen,2012-10-07,"4,131,212"
Collect_yTK,7,yTK,japan earthquake,"""thumb|300px|Earthquakes M5""",International,International,,,Earthquake in Japan,2012-10-07,"2,038,142"
Collect_yTK,8,yTK,#syria,""" Syria is ranked last on the Global Peace Index, making it the most violent country in the world due to the war, although life continues normally for most of its citizens as of December 2017""","crisis, political, Arab Spring, uprising",political crisis,,,Syria,2012-10-07,"18,328,990"
Collect_yTK,9,yTK,OccupyWallStreet,""" To achieve their goals, protesters acted on consensus-based decisions made in general assemblies which emphasized redress through direct action over the petitioning to authorities""",War,War,,,Occupy Wall Street,2012-10-07,"1,572,601"
Collect_yTK,10,yTK,#nrv,new river valley (blacksburg) related tweets,,,,,NRV,2012-10-07,"287,628"
Collect_yTK,11,yTK,virginia tech,""" undergraduate programs accredited by the Association to Advance Collegiate Schools of Business International""",/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,,Virginia Tech,2012-10-07,"3,697,789"
Collect_yTK,12,yTK,iran earthquake,,"Earthquake, Iran",Earthquake,,,2005 Iran earthquake,2012-10-07,"561,624"
Collect_yTK,13,yTK,diabetes,health category,Earthquake,Earthquake,,,Diabetes,2012-10-07,"13,044,848"
Collect_yTK,14,yTK,heart attack,health category,Earthquake,Earthquake,,,The Heart Attack,2012-10-07,"21,134,273"
