Collection Terms,Tags,Category_1,Category_2,Category_3
#egypt,/Disaster_Types/Manmade/Conflict_Based/Revolution,/Disaster_Types/Manmade/Conflict_Based/Revolution,,
#blacksburg,Local,Local,,
#jan25,/Disaster_Types/Manmade/Conflict_Based/Revolution,/Disaster_Types/Manmade/Conflict_Based/Revolution,,
#bahrain,Building,Building,,
#yemen,International,International,,
japan earthquake,International,International,,
#syria,"crisis, political, Arab Spring, uprising",political crisis,,
OccupyWallStreet,War,War,,
virginia tech,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
iran earthquake,"Earthquake, Iran",Earthquake,,
diabetes,Earthquake,Earthquake,,
heart attack,Earthquake,Earthquake,,
foursquare,social media,"geolocation, social media",,
#Isaac,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
emergency response,Response,Response,,
emergency recovery,Response,Response,,
emergency mitigation,Response,Response,,
emergency management,Response,Response,,
hurricane sandy,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
earthquake,Response,Response,,
flood,Earthquake,Earthquake,,
terrorism,Flood,Flood,,
hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
hurricane isaac,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
@NOAA,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
@FEMA,/Organization/Federal/FEMA,/Organization/Federal/FEMA,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,
@RedCross,Terrorism,Terrorism,,
@SalvationArmy,International,International,,
@SalvationArmyUS,International,International,,
guatemala earthquake,International,International,,
Israel,Earthquake,Earthquake,,
obesity,Earthquake,Earthquake,,
typhoon,/Disaster_Types/Natural/Geophysical/Storm/Typhoon,/Disaster_Types/Natural/Geophysical/Storm/Typhoon,,
oregon shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,
Connecticut shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
connecticut school shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
firefighter shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,
tucson shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,
kentucky shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
gun control,Wind,Wind,,
brazil nightclub fire,International,International,,
tsunami,International,International,,
solomon islands earthquake,Tsunami,Tsunami,,
tunisia,/location/country/tunisia,/location/country/tunisia,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Assassination,
santa cruz earthquake,Tsunami,Tsunami,,
northeast storm,Tsunami,Tsunami,,
#iran,Tsunami,Tsunami,,
gun violence,National,National,,
Quantico shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,,
#NDLTD,Prevention,Prevention,,
#ETD2013,General,General,,
#digitallibrary,Chemical,Chemical,,
christiansburg mall shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,
virginia tech remembrance,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
boston explosion,Bombing,Bombing,,
pakistan earthquake,Bombing,Bombing,,
texas fertilizer explosion,Bombing,Bombing,,
boston shooters,Bombing,Bombing,,
china earthquake,Bombing,Bombing,,
bangladesh building collapse,Bombing,Bombing,,
747 crash,Building,Building,,
turkish car bombing,Building,Building,,
ontario earthquake,Building,Building,,
oklahoma tornado,Building,Building,,
#Iranelections,Tornado,Tornado,,
philadelphia building collapse,International,International,,
#Andrea,International,International,,
santa monica shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/Terrorism/Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,
iran election,International,International,,
#iranelection,National,National,,
#HassanRouhani,Nuclear,Nuclear,,
Asiana flight crash,Nuclear,Nuclear,,
#Quebec,Aircraft,Aircraft,,
Quebec train derailment,Aircraft,Aircraft,,
car bomb,Aircraft,Aircraft,,
Hezbollah Beirut,Aircraft,Aircraft,,
Spain train,Attack,Attack,,
spanish train crash,Attack,Attack,,
suicide bomb,General,General,,
philippine ferry disaster,Bombing,Bombing,,
#EgyAntiCoup,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,
#egyptmassacere,massacre,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,
#Rabaa,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,
#AntiCoup,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,
#R4BIA,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,
#Egypte,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,
#EgyptCrisis,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,
#EgyptCoup,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,/Disaster_Types/Manmade/Conflict_Based/Mass_Murder,,
atlanta school shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
georgia school shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
michael brandon hill,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
atlanta gunman in school,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
33 killed in Malaysia,Maritime,Maritime,,
Damascus gas attack,Attack,Attack,,
Antoinette Tuff,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
Malaysia crash,Attack,Attack,,
nuclear plant,Attack,Attack,,
toxic water,Nuclear,Nuclear,,
Syria,Water,Water,,
Syria crisis,War,War,,
